corruption,severity,ttt_mode,n_samples,class_0,class_1,class_2,class_3,class_4,class_5,class_6,class_7,class_8,class_9
fog,2,per_batch,10000,0.896,0.938,0.796,0.778,0.88,0.743,0.888,0.85,0.937,0.929
fog,2,per_image,1000,0.84,0.98,0.83,0.72,0.88,0.79,0.89,0.89,0.93,0.9
fog,3,baseline,10000,0.844,0.906,0.782,0.796,0.836,0.66,0.795,0.748,0.91,0.879
fog,3,per_batch,10000,0.857,0.907,0.779,0.779,0.857,0.671,0.814,0.777,0.918,0.891
fog,3,per_image,1000,0.87,0.91,0.89,0.77,0.86,0.7,0.78,0.78,0.89,0.89
fog,4,baseline,10000,0.77,0.857,0.75,0.84,0.784,0.525,0.657,0.589,0.852,0.796
fog,4,per_batch,10000,0.806,0.87,0.737,0.815,0.821,0.542,0.713,0.643,0.888,0.837
fog,4,per_image,1000,0.78,0.92,0.76,0.83,0.78,0.6,0.66,0.64,0.89,0.82
fog,5,baseline,10000,0.578,0.616,0.662,0.842,0.581,0.347,0.402,0.267,0.595,0.518
fog,5,per_batch,10000,0.68,0.679,0.644,0.803,0.707,0.367,0.494,0.336,0.749,0.627
fog,5,per_image,1000,0.61,0.76,0.7,0.85,0.51,0.34,0.44,0.33,0.72,0.57
brightness,1,baseline,10000,0.923,0.957,0.839,0.754,0.879,0.838,0.948,0.916,0.952,0.941
brightness,1,per_batch,10000,0.925,0.957,0.84,0.76,0.879,0.839,0.945,0.92,0.952,0.939
brightness,1,per_image,1000,0.89,0.96,0.85,0.77,0.89,0.83,0.95,0.97,0.97,0.92
brightness,2,baseline,10000,0.934,0.96,0.831,0.755,0.881,0.828,0.943,0.917,0.947,0.936
brightness,2,per_batch,10000,0.929,0.956,0.832,0.749,0.878,0.833,0.944,0.919,0.949,0.938
brightness,2,per_image,1000,0.93,0.99,0.78,0.76,0.9,0.83,0.97,0.92,0.93,0.96
brightness,3,baseline,10000,0.93,0.954,0.83,0.745,0.876,0.82,0.934,0.914,0.947,0.932
brightness,3,per_batch,10000,0.928,0.953,0.821,0.743,0.881,0.829,0.936,0.92,0.947,0.934
brightness,3,per_image,1000,0.93,0.94,0.85,0.74,0.87,0.85,0.95,0.93,0.91,0.97
brightness,4,baseline,10000,0.932,0.948,0.821,0.748,0.877,0.812,0.922,0.914,0.943,0.926
brightness,4,per_batch,10000,0.93,0.95,0.825,0.747,0.878,0.816,0.921,0.914,0.94,0.929
brightness,4,per_image,1000,0.92,0.97,0.79,0.79,0.88,0.78,0.87,0.86,0.96,0.92
brightness,5,baseline,10000,0.926,0.922,0.795,0.736,0.871,0.744,0.889,0.881,0.935,0.907
brightness,5,per_batch,10000,0.924,0.928,0.793,0.731,0.872,0.757,0.893,0.883,0.936,0.909
brightness,5,per_image,1000,0.88,0.95,0.83,0.69,0.83,0.76,0.86,0.91,0.96,0.89
contrast,1,baseline,10000,0.922,0.957,0.83,0.777,0.894,0.806,0.943,0.911,0.949,0.943
contrast,1,per_batch,10000,0.922,0.959,0.831,0.774,0.894,0.808,0.943,0.91,0.949,0.942
contrast,1,per_image,1000,0.9,0.97,0.83,0.78,0.9,0.81,0.93,0.93,0.97,0.98
contrast,2,baseline,10000,0.917,0.945,0.792,0.796,0.917,0.73,0.926,0.88,0.943,0.929
contrast,2,per_batch,10000,0.916,0.943,0.79,0.792,0.917,0.738,0.928,0.886,0.945,0.932
contrast,2,per_image,1000,0.86,0.94,0.83,0.74,0.96,0.76,0.91,0.87,0.95,0.96
contrast,3,baseline,10000,0.899,0.936,0.765,0.81,0.911,0.667,0.894,0.833,0.937,0.914
contrast,3,per_batch,10000,0.896,0.938,0.766,0.801,0.912,0.68,0.902,0.844,0.94,0.919
contrast,3,per_image,1000,0.87,0.97,0.82,0.79,0.93,0.72,0.91,0.87,0.94,0.93
contrast,4,baseline,10000,0.881,0.913,0.706,0.824,0.908,0.552,0.832,0.725,0.925,0.877
contrast,4,per_batch,10000,0.875,0.915,0.71,0.809,0.912,0.578,0.855,0.743,0.935,0.892
contrast,4,per_image,1000,0.83,0.87,0.8,0.84,0.91,0.53,0.81,0.77,0.97,0.89
contrast,5,baseline,10000,0.719,0.644,0.549,0.781,0.825,0.245,0.518,0.268,0.818,0.576
contrast,5,per_batch,10000,0.713,0.711,0.523,0.789,0.889,0.279,0.622,0.343,0.86,0.662
contrast,5,per_image,1000,0.68,0.67,0.52,0.76,0.85,0.32,0.57,0.2,0.89,0.51
elastic_transform,1,baseline,10000,0.901,0.94,0.847,0.781,0.863,0.777,0.891,0.888,0.929,0.901
elastic_transform,1,per_batch,10000,0.906,0.941,0.844,0.771,0.874,0.776,0.906,0.894,0.934,0.902
elastic_transform,1,per_image,1000,0.85,0.94,0.87,0.75,0.88,0.78,0.86,0.9,0.95,0.89
elastic_transform,2,baseline,10000,0.897,0.939,0.851,0.792,0.861,0.762,0.891,0.886,0.937,0.911
elastic_transform,2,per_batch,10000,0.901,0.94,0.85,0.787,0.874,0.774,0.898,0.89,0.94,0.917
elastic_transform,2,per_image,1000,0.91,0.95,0.85,0.78,0.9,0.83,0.91,0.87,0.92,0.89
elastic_transform,3,baseline,10000,0.898,0.922,0.848,0.795,0.851,0.765,0.858,0.872,0.932,0.899
elastic_transform,3,per_batch,10000,0.901,0.926,0.841,0.781,0.868,0.774,0.877,0.883,0.939,0.905
elastic_transform,3,per_image,1000,0.92,0.93,0.84,0.75,0.85,0.72,0.92,0.86,0.97,0.88
elastic_transform,4,baseline,10000,0.88,0.889,0.815,0.791,0.853,0.734,0.831,0.832,0.886,0.844
elastic_transform,4,per_batch,10000,0.887,0.898,0.809,0.78,0.864,0.748,0.869,0.844,0.905,0.855
elastic_transform,4,per_image,1000,0.87,0.92,0.83,0.77,0.92,0.74,0.83,0.86,0.92,0.79
elastic_transform,5,baseline,10000,0.877,0.817,0.749,0.758,0.848,0.718,0.865,0.799,0.844,0.815
elastic_transform,5,per_batch,10000,0.89,0.827,0.739,0.736,0.864,0.724,0.882,0.807,0.856,0.841
elastic_transform,5,per_image,1000,0.92,0.82,0.77,0.7,0.88,0.84,0.93,0.8,0.85,0.82
pixelate,1,baseline,10000,0.91,0.956,0.846,0.745,0.883,0.82,0.946,0.922,0.948,0.936
pixelate,1,per_batch,10000,0.913,0.956,0.842,0.757,0.877,0.817,0.947,0.925,0.949,0.94
pixelate,1,per_image,1000,0.92,0.97,0.87,0.72,0.84,0.84,0.94,0.96,0.98,0.93
pixelate,2,baseline,10000,0.908,0.952,0.824,0.754,0.883,0.811,0.944,0.909,0.95,0.946
pixelate,2,per_batch,10000,0.917,0.955,0.829,0.757,0.882,0.813,0.943,0.912,0.949,0.942
pixelate,2,per_image,1000,0.97,0.96,0.79,0.76,0.88,0.83,0.92,0.92,0.96,0.95
pixelate,3,baseline,10000,0.894,0.918,0.797,0.756,0.888,0.713,0.913,0.889,0.958,0.951
pixelate,3,per_batch,10000,0.896,0.921,0.802,0.757,0.891,0.738,0.92,0.897,0.955,0.948
pixelate,3,per_image,1000,0.84,0.92,0.81,0.71,0.91,0.74,0.89,0.89,0.94,0.97
pixelate,4,baseline,10000,0.815,0.821,0.677,0.586,0.849,0.324,0.834,0.803,0.96,0.967
pixelate,4,per_batch,10000,0.838,0.867,0.722,0.683,0.869,0.493,0.882,0.834,0.953,0.959
pixelate,4,per_image,1000,0.78,0.83,0.72,0.58,0.89,0.43,0.83,0.76,0.96,0.95
pixelate,5,baseline,10000,0.78,0.701,0.592,0.625,0.846,0.435,0.709,0.783,0.928,0.977
pixelate,5,per_batch,10000,0.815,0.766,0.629,0.679,0.882,0.582,0.798,0.821,0.931,0.966
pixelate,5,per_image,1000,0.75,0.75,0.62,0.56,0.83,0.48,0.69,0.81,0.96,0.97
jpeg_compression,1,baseline,10000,0.886,0.926,0.805,0.705,0.874,0.728,0.965,0.839,0.943,0.927
jpeg_compression,1,per_batch,10000,0.879,0.921,0.8,0.718,0.881,0.735,0.96,0.852,0.942,0.932
jpeg_compression,1,per_image,1000,0.86,0.97,0.84,0.62,0.87,0.71,0.94,0.82,0.91,0.89
jpeg_compression,2,baseline,10000,0.839,0.886,0.757,0.723,0.82,0.689,0.923,0.799,0.92,0.915
jpeg_compression,2,per_batch,10000,0.846,0.891,0.756,0.712,0.839,0.697,0.925,0.81,0.929,0.917
jpeg_compression,2,per_image,1000,0.78,0.92,0.77,0.67,0.75,0.74,0.95,0.82,0.91,0.91
jpeg_compression,3,baseline,10000,0.837,0.864,0.746,0.727,0.804,0.658,0.901,0.781,0.919,0.905
jpeg_compression,3,per_batch,10000,0.842,0.87,0.741,0.715,0.819,0.671,0.915,0.791,0.92,0.907
jpeg_compression,3,per_image,1000,0.87,0.85,0.72,0.63,0.82,0.7,0.89,0.79,0.94,0.89
jpeg_compression,4,baseline,10000,0.817,0.855,0.745,0.746,0.788,0.64,0.876,0.762,0.907,0.888
jpeg_compression,4,per_batch,10000,0.829,0.866,0.736,0.74,0.805,0.653,0.892,0.777,0.908,0.894
jpeg_compression,4,per_image,1000,0.8,0.87,0.78,0.76,0.83,0.69,0.92,0.74,0.92,0.89
jpeg_compression,5,baseline,10000,0.797,0.825,0.729,0.758,0.715,0.581,0.82,0.7,0.887,0.844
jpeg_compression,5,per_batch,10000,0.814,0.845,0.72,0.716,0.764,0.613,0.87,0.738,0.902,0.86
jpeg_compression,5,per_image,1000,0.74,0.83,0.78,0.68,0.71,0.61,0.82,0.8,0.9,0.88
