corruption,severity,ttt_mode,n_samples,class_0,class_1,class_2,class_3,class_4,class_5,class_6,class_7,class_8,class_9
motion_blur,5,per_image,1000,0.81,0.86,0.87,0.81,0.74,0.43,0.64,0.56,0.92,0.63
snow,1,baseline,10000,0.901,0.935,0.781,0.743,0.877,0.807,0.938,0.895,0.917,0.937
snow,1,per_batch,10000,0.904,0.937,0.783,0.742,0.876,0.807,0.938,0.898,0.917,0.937
snow,1,per_image,1000,0.88,0.95,0.76,0.7,0.91,0.9,0.91,0.9,0.91,0.97
snow,2,baseline,10000,0.85,0.881,0.674,0.696,0.86,0.748,0.934,0.83,0.855,0.917
snow,2,per_batch,10000,0.85,0.88,0.676,0.699,0.863,0.752,0.934,0.83,0.856,0.918
snow,2,per_image,1000,0.82,0.89,0.65,0.68,0.85,0.78,0.93,0.86,0.84,0.94
snow,3,baseline,10000,0.87,0.878,0.671,0.718,0.828,0.759,0.917,0.833,0.837,0.929
snow,3,per_batch,10000,0.874,0.877,0.673,0.715,0.83,0.758,0.918,0.833,0.84,0.929
snow,3,per_image,1000,0.9,0.9,0.68,0.77,0.82,0.84,0.91,0.86,0.86,0.93
snow,4,baseline,10000,0.859,0.85,0.642,0.73,0.827,0.734,0.867,0.798,0.815,0.9
snow,4,per_batch,10000,0.861,0.852,0.635,0.731,0.829,0.734,0.868,0.799,0.818,0.9
snow,4,per_image,1000,0.78,0.82,0.74,0.69,0.83,0.78,0.87,0.75,0.82,0.93
snow,5,baseline,10000,0.797,0.804,0.605,0.758,0.825,0.716,0.875,0.754,0.799,0.889
snow,5,per_batch,10000,0.802,0.805,0.597,0.763,0.827,0.718,0.873,0.756,0.798,0.889
snow,5,per_image,1000,0.8,0.84,0.59,0.71,0.82,0.7,0.82,0.73,0.79,0.92
frost,1,baseline,10000,0.88,0.93,0.805,0.747,0.888,0.809,0.927,0.874,0.942,0.94
frost,1,per_batch,10000,0.883,0.93,0.805,0.749,0.887,0.809,0.929,0.874,0.941,0.94
frost,1,per_image,1000,0.88,0.93,0.84,0.7,0.86,0.82,0.92,0.85,0.96,0.95
frost,2,baseline,10000,0.863,0.905,0.765,0.74,0.856,0.754,0.927,0.825,0.93,0.933
frost,2,per_batch,10000,0.868,0.906,0.767,0.739,0.858,0.755,0.926,0.823,0.929,0.931
frost,2,per_image,1000,0.85,0.9,0.76,0.76,0.85,0.69,0.95,0.81,0.9,0.93
frost,3,baseline,10000,0.804,0.862,0.696,0.713,0.85,0.633,0.918,0.712,0.907,0.897
frost,3,per_batch,10000,0.808,0.864,0.701,0.712,0.851,0.634,0.915,0.716,0.906,0.898
frost,3,per_image,1000,0.79,0.87,0.78,0.72,0.83,0.54,0.92,0.74,0.93,0.9
frost,4,baseline,10000,0.799,0.847,0.692,0.69,0.848,0.627,0.927,0.712,0.894,0.904
frost,4,per_batch,10000,0.805,0.852,0.694,0.689,0.848,0.631,0.927,0.722,0.895,0.907
frost,4,per_image,1000,0.8,0.86,0.72,0.68,0.88,0.55,0.88,0.72,0.92,0.92
frost,5,baseline,10000,0.74,0.79,0.641,0.667,0.813,0.528,0.916,0.581,0.851,0.848
frost,5,per_batch,10000,0.742,0.792,0.647,0.671,0.814,0.531,0.916,0.587,0.849,0.847
frost,5,per_image,1000,0.74,0.74,0.69,0.66,0.83,0.49,0.92,0.51,0.81,0.83
fog,1,baseline,10000,0.916,0.956,0.836,0.765,0.883,0.819,0.929,0.908,0.951,0.944
fog,1,per_batch,10000,0.916,0.954,0.836,0.763,0.883,0.819,0.929,0.908,0.951,0.944
fog,1,per_image,1000,0.91,0.96,0.75,0.81,0.88,0.84,0.9,0.92,0.99,0.94
