corruption,severity,ttt_mode,n_samples,class_0,class_1,class_2,class_3,class_4,class_5,class_6,class_7,class_8,class_9
fog,1,baseline,10000,0.916,0.956,0.836,0.765,0.883,0.819,0.93,0.908,0.951,0.944
fog,1,per_batch,10000,0.916,0.955,0.836,0.765,0.883,0.819,0.93,0.908,0.951,0.944
fog,1,per_image,1000,0.92,0.96,0.84,0.79,0.84,0.83,0.9,0.88,0.98,0.96
fog,2,baseline,10000,0.889,0.941,0.799,0.786,0.869,0.741,0.875,0.834,0.937,0.923
fog,2,per_batch,10000,0.89,0.941,0.801,0.785,0.87,0.741,0.875,0.836,0.937,0.923
fog,2,per_image,1000,0.89,0.95,0.74,0.77,0.87,0.75,0.86,0.81,0.92,0.94
fog,3,baseline,10000,0.844,0.906,0.781,0.797,0.836,0.659,0.792,0.744,0.91,0.879
fog,3,per_batch,10000,0.844,0.906,0.781,0.797,0.837,0.661,0.793,0.747,0.91,0.879
fog,3,per_image,1000,0.82,0.91,0.73,0.76,0.81,0.67,0.81,0.7,0.95,0.88
fog,4,baseline,10000,0.774,0.856,0.752,0.835,0.779,0.515,0.658,0.583,0.851,0.787
fog,4,per_batch,10000,0.776,0.858,0.751,0.835,0.781,0.515,0.66,0.585,0.851,0.789
fog,4,per_image,1000,0.8,0.89,0.72,0.81,0.85,0.51,0.67,0.55,0.87,0.8
fog,5,baseline,10000,0.569,0.615,0.653,0.846,0.576,0.339,0.4,0.265,0.586,0.51
fog,5,per_batch,10000,0.571,0.618,0.657,0.845,0.583,0.343,0.403,0.268,0.591,0.514
fog,5,per_image,1000,0.61,0.65,0.62,0.81,0.65,0.38,0.37,0.15,0.64,0.52
brightness,1,baseline,10000,0.924,0.958,0.841,0.762,0.878,0.839,0.946,0.918,0.951,0.94
brightness,1,per_batch,10000,0.923,0.958,0.84,0.762,0.878,0.839,0.946,0.918,0.951,0.94
brightness,1,per_image,1000,0.94,0.97,0.81,0.75,0.89,0.9,0.92,0.92,0.93,0.95
brightness,2,baseline,10000,0.929,0.955,0.83,0.751,0.876,0.831,0.944,0.919,0.948,0.938
brightness,2,per_batch,10000,0.929,0.955,0.83,0.751,0.876,0.831,0.944,0.919,0.948,0.938
brightness,2,per_image,1000,0.91,0.94,0.8,0.84,0.87,0.79,0.97,0.96,0.98,0.97
brightness,3,baseline,10000,0.93,0.953,0.825,0.748,0.879,0.823,0.936,0.917,0.945,0.933
